"Source Name","Source File Path","Result Type","Comment","User Name"
"E-Mail Messages at 2009-12-02 15:04:29 CST","/img_charlie-work-usb-2009-12-11.E01/vol_vol2/Email/Charlie_2009-12-02_1305_Received_Interested-.eml","E-Mail Messages","Sus email
","s538259"
"E-Mail Messages at 2009-12-04 15:06:23 CST","/img_charlie-2009-12-11.E01/vol_vol2/Documents and Settings/Charlie/Application Data/Thunderbird/Profiles/4zy34x9h.default/Mail/Local Folders/Sent","E-Mail Messages","deposit-email
","s538259"
